date,mask,distancing,evi
20200123,0.424613623,0.296639442,0.425051393
20200129,0.448610795,0.419658631,0.423083655
20200130,0.442337638,0.201557726,0.421405406
20200203,0.428072601,0.371263444,0.427033373
20200204,0.442082339,0.326797903,0.429804738
20200210,0.447105068,0.343706791,0.420920837
20200211,0.454455729,0.311167806,0.420781338
20200220,0.411799587,0.576311886,0.432596992
20200225,0.457760556,0.385864964,0.421627864
20200226,0.464702758,0.442869514,0.419047775
20200227,0.457100853,0.439756578,0.421153634
20200228,0.459375454,0.380813222,0.421245537
20200229,0.483850001,0.454668067,0.415338043
20200301,0.368398507,0.402998507,0.420556512
20200303,0.423914135,0.332151329,0.427764368
20200304,0.385774311,0.373453945,0.428777301
20200305,0.432238213,0.417263657,0.426233511
20200306,0.418722902,0.422623558,0.432010764
20200307,0.379927722,0.41728727,0.421593949
20200308,0.407480204,0.37208106,0.428089258
20200309,0.368769106,0.43353129,0.425195932
20200310,0.429950496,0.405588018,0.425694919
20200311,0.434432969,0.389844018,0.432406197
20200312,0.41548365,0.39745506,0.432085056
20200313,0.364662066,0.408648711,0.44840491
20200316,0.434744753,0.470329291,0.458257728
20200317,0.454200213,0.471068709,0.46083418
20200318,0.469760651,0.467724443,0.453985219
20200319,0.461846631,0.470543504,0.454730897
20200320,0.463532679,0.479851753,0.460160267
20200321,0.47778218,0.473211915,0.453753691
20200322,0.452756382,0.459987129,0.451234185
20200323,0.458443695,0.462659169,0.456234868
20200324,0.47206003,0.456682035,0.453692554
20200325,0.506349486,0.470132121,0.458964024
20200326,0.451778483,0.479673794,0.459063106
20200327,0.460672638,0.460775224,0.455044953
20200328,0.472170632,0.460014368,0.449313748
20200329,0.442584088,0.481349916,0.450891071
20200330,0.473411167,0.468004713,0.458323262
20200331,0.481789613,0.469008677,0.457593205
20200401,0.476906124,0.455567497,0.455171337
20200402,0.458375799,0.442424562,0.45639244
20200403,0.450763819,0.445437185,0.455359662
20200404,0.476121513,0.450225118,0.448355031
20200405,0.489105897,0.452646946,0.447231084
20200406,0.480612554,0.463509083,0.458162228
20200407,0.502196263,0.460187759,0.459536287
20200408,0.504434853,0.455119825,0.457025554
20200409,0.513127098,0.478986292,0.457491617
20200410,0.521586222,0.463824658,0.447746542
20200411,0.534163631,0.457066896,0.444211194
20200412,0.545185684,0.491437031,0.448567282
20200413,0.545190037,0.447245761,0.453559838
20200414,0.478095273,0.437871444,0.455192361
20200415,0.58055066,0.475446501,0.463011852
20200417,0.483333246,0.433260732,0.461570751
20200418,0.500739595,0.455142632,0.451632663
20200419,0.484790138,0.453618967,0.445424859
20200420,0.53441455,0.44869299,0.456454986
20200421,0.491691485,0.45329933,0.451249433
20200422,0.527771548,0.453847579,0.459059556
20200423,0.472149318,0.472736173,0.46166252
20200424,0.440671537,0.48184331,0.459679702
20200425,0.494143775,0.458664459,0.447099818
20200426,0.534804994,0.469204518,0.448246566
20200427,0.523803294,0.462917386,0.461554556
20200428,0.504423186,0.468025009,0.455141238
20200429,0.496027542,0.439407866,0.455678822
20200430,0.544325342,0.458399397,0.461002175
20200501,0.515192528,0.453917612,0.446044389
20200504,0.49765437,0.444322714,0.462846682
20200505,0.528806752,0.462512939,0.460580449
20200506,0.486633717,0.474337018,0.457431655
20200507,0.467999672,0.468142427,0.461173639
20200508,0.524615928,0.494308641,0.464003564
20200509,0.449267917,0.486485797,0.445838399
20200510,0.550717194,0.452838816,0.443294526
20200511,0.518666211,0.452246086,0.457620185
20200512,0.508309202,0.468760081,0.454475214
20200513,0.473500804,0.471354172,0.459352003
20200514,0.520193953,0.473407905,0.461148478
20200515,0.503562833,0.477336722,0.461297917
20200516,0.507677801,0.454479824,0.446784012
20200517,0.499745068,0.461608234,0.447429552
20200518,0.488644287,0.455580635,0.443182713
20200519,0.525810574,0.472306234,0.455754542
20200520,0.49474784,0.45691727,0.459209552
20200521,0.494995814,0.450974066,0.460709257
20200522,0.506192621,0.448224475,0.456104652
20200523,0.468974591,0.434830534,0.442665552
20200524,0.463968775,0.422381771,0.435318663
20200525,0.496981537,0.464866725,0.459163508
20200526,0.550048371,0.47649601,0.459623058
20200527,0.506196021,0.495610441,0.46641958
20200528,0.50401887,0.473124394,0.460222913
20200529,0.488666877,0.458271458,0.459530497
20200530,0.530209808,0.451780222,0.444002731
20200531,0.53456179,0.390134094,0.435567911
20200601,0.455184728,0.438786199,0.457215909
20200602,0.427241097,0.418764047,0.447273497
20200603,0.465646255,0.431733731,0.457021838
20200604,0.468311397,0.444954699,0.456628859
20200605,0.480819108,0.426955497,0.462324238
20200606,0.479847084,0.446321491,0.444102509
20200607,0.424292768,0.420419335,0.441835598
20200608,0.431465239,0.44396227,0.460384498
20200609,0.461236618,0.441556419,0.461412718
20200610,0.484080967,0.433014774,0.463579515
20200611,0.489126498,0.463184096,0.461893448
20200612,0.489268007,0.488108519,0.466525445
20200613,0.472822625,0.447013274,0.447762843
20200614,0.509470832,0.434717571,0.444027535
20200615,0.476568466,0.44308281,0.459442487
20200616,0.527382092,0.464151071,0.456847613
20200617,0.468029198,0.455919299,0.4538974
20200618,0.4623521,0.452715854,0.457105164
20200619,0.462751356,0.458001906,0.462086992
20200620,0.492569753,0.460160885,0.445555143
20200621,0.393622664,0.454513062,0.437241252
20200622,0.508071854,0.440420838,0.457684284
20200623,0.481035634,0.434369652,0.45736871
20200624,0.437152944,0.449714609,0.455826233
20200625,0.487448966,0.442703241,0.453704646
20200626,0.460060896,0.432811695,0.450949929
20200627,0.495053578,0.411327855,0.443262252
20200628,0.444726677,0.429769322,0.43865629
20200629,0.495877021,0.448236836,0.458596558
20200630,0.468897965,0.461873175,0.455962582
20200701,0.464271112,0.493492298,0.452227367
20200702,0.471249428,0.437658351,0.449885361
20200703,0.492520083,0.466248283,0.453942668
20200704,0.519820953,0.454369281,0.44415002
20200705,0.532220041,0.43357714,0.43617166
20200706,0.490463512,0.445604566,0.445797516
20200707,0.499018019,0.449364682,0.448712722
20200708,0.422820789,0.433940726,0.446958581
